lila_dataset_name,lila_category_name,wi_guid,wi_taxon_name,wi_common,count
Missouri Camera Traps,collared_peccary,5acf63fb-339d-42b1-af7e-95f6151ae5fb,pecari tajacu,Collared Peccary,930
Missouri Camera Traps,paca,7f0c9c8f-e385-48f8-abd7-1577eec52a79,cuniculus,Cuniculus Species,1184
Missouri Camera Traps,red_brocket_deer,0dba69b2-dfd7-48af-8e64-e576cbda74c3,mazama americana,Red Brocket,982
Missouri Camera Traps,white-nosed_coati,1df7d5e4-16ac-4533-81f7-b2e6c8a0ff00,nasua narica,White-nosed Coati,1283
Missouri Camera Traps,spiny_rat,1dded07e-84e9-467f-8b2d-82af60d811dd,rattus praetor,Large Spiny Rat,696
Missouri Camera Traps,ocelot,22976d14-d424-4f18-a67a-d8e1689cefcc,leopardus pardalis,Ocelot,536
Missouri Camera Traps,red_squirrel,b3f3e9e3-440d-44df-9a89-081f276c8bdd,tamiasciurus hudsonicus,Red Squirrel,618
Missouri Camera Traps,common_opossum,4ac36fff-912b-467a-8dab-95ee49d26787,didelphis marsupialis,Common Opossum,911
Missouri Camera Traps,bird_spec,b1352069-a39c-4a84-a949-60044271c0c1,aves,Bird,777
Missouri Camera Traps,great_tinamou,75760d64-d7a3-496e-b338-e14d97383ecf,tinamus major,Great Tinamou,1177
Missouri Camera Traps,white_tailed_deer,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,odocoileus virginianus,White-tailed Deer,2185
Missouri Camera Traps,mouflon,db570f53-566b-4234-80f6-3af4026f6b12,ovis ammon,Argali,2365
Missouri Camera Traps,red_deer,eb3829b0-772e-4088-ae90-f11b9fe38284,cervus elaphus,Red Deer,2798
Missouri Camera Traps,roe_deer,ee3bf879-1d65-463a-b9b9-029baf09ce95,capreolus,Capreolus Species,1252
Missouri Camera Traps,wild_boar,d372cda5-a8ca-4b7b-97ed-4e4fab9c9b4b,sus scrofa,Wild Boar,1864
Missouri Camera Traps,red_fox,ac0e8ba7-7261-4d17-8645-11ed3d02165a,vulpes vulpes,Red Fox,496
Missouri Camera Traps,european_hare,ce9a5481-b3f7-4e42-8b8b-382f601fded0,lepus europaeus,European Hare,693
Missouri Camera Traps,wood_mouse,935bac8e-4e7f-4396-b444-4e966b41d8d8,apodemus sylvaticus,Long-tailed Field Mouse,1329
Missouri Camera Traps,coiban_agouti,ccdae5e8-1c73-4ed6-9d16-82304fbf9df3,dasyprocta coibae,Coiban Agouti,1353
NACTI,alces alces,429257d4-3ef2-47fb-b849-66ee6c107346,alces alces,Moose,9960
NACTI,bos taurus,aca65aaa-8c6d-4b69-94de-842b08b13bd6,bos taurus,Domestic Cattle,2019009
NACTI,callipepla californica,daf972d0-b038-4d10-8862-01d0e590e551,callipepla californica,California Quail,2275
NACTI,canis familiaris,3d80f1d6-b1df-4966-9ff4-94053c7a902a,canis familiaris,Domestic Dog,1224
NACTI,canis latrans,aaf3b049-36e6-46dd-9a07-8a580e9618b7,canis latrans,Coyote,20968
NACTI,canis lupus,ee8d5a89-f82e-4323-80e2-0ffc9487ebaf,canis lupus,Grey Wolf,0
NACTI,cervus canadensis,c5ce946f-8f0d-4379-992b-cc0982381f5e,cervus canadensis,Elk,22143
NACTI,cervus elaphus,eb3829b0-772e-4088-ae90-f11b9fe38284,cervus elaphus,Red Deer,183794
NACTI,lontra canadensis,a70c87e9-62bc-41c2-9e36-96fed9136046,lontra canadensis,North American River Otter,557
NACTI,martes americana,819ea972-9d43-40f8-a47d-f415c816de94,martes americana,American Marten,1433
NACTI,meles meles,73baf300-5592-4ab5-9da8-7da898477934,meles meles,Eurasian Badger,157
NACTI,mustela erminea,696f42f4-7eb9-491c-a1fe-b1d5c78ebcba,mustela erminea,Stoat,29
NACTI,mustela frenata,df4c64cf-306d-4bf2-aa86-9e9c8d81fd41,mustela frenata,Long-tailed Weasel,36
NACTI,corvus brachyrhynchos,87fdd451-ca1e-47b1-af43-aa4517cd13bf,corvus brachyrhynchos,American Crow,0
NACTI,cyanocitta stelleri,68b01aa1-dfc1-46a6-bcac-87767647ad17,cyanocitta stelleri,Steller's Jay,3
NACTI,unidentified corvus,e237b8d3-997f-4f3b-8736-8c3958f8182c,corvus,Corvus Species,1040
NACTI,perisoreus canadensis,0a4869c1-f645-4e76-9b30-5a1ff0ab9adf,perisoreus canadensis,Grey Jay,77
NACTI,dasypus novemcinctus,07843615-e1fc-49d8-9821-fd1d7ff2e773,dasypus novemcinctus,Nine-banded Armadillo,9856
NACTI,meleagris gallopavo,c10547c3-1748-48bf-a451-8066c820f22f,meleagris gallopavo,Domestic Turkey,3643
NACTI,didelphis virginiana,87be3a5c-e60a-4e7e-88c7-21544914d067,didelphis virginiana,Virginia Opossum,1527
NACTI,equus africanus,bf4af16d-d079-4d7c-af7a-be9c9c7cceab,equus africanus,African Wild Ass,2665
NACTI,equus ferus,19fd235e-d808-4e22-bfae-42491045b763,equus ferus,Przewalski's Horse,133
NACTI,lepus americanus,0f2e2c41-f1bb-4cdd-8e97-ba7cffba3e86,lepus americanus,Snowshoe Hare,13868
NACTI,lepus californicus,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,lepus californicus,Black-tailed Jackrabbit,1150
NACTI,unidentified rabbit,6c09fa63-2acc-4915-a60b-bd8cee40aedb,leporidae,Rabbit and Hare Family,4487
NACTI,sylvilagus floridanus,667a4650-a141-4c4e-844e-58cdeaeb4ae1,sylvilagus floridanus,Eastern Cottontail,0
NACTI,lynx rufus,ba76d46e-25de-45e2-90a8-bd279b650f7c,lynx rufus,Bobcat,25434
NACTI,mephitis mephitis,9282b7e4-f3b0-4ef3-9741-cae7f7bd346a,mephitis mephitis,Striped Skunk,11485
NACTI,unidentified deer,b52529fa-320f-41e8-97ec-fa41ce26c86a,odocoileus,Odocoileus Species,96115
NACTI,erethizon dorsatum,b34b243f-385d-4880-93b9-0c2526d012a7,erethizon dorsatum,North American Porcupine,546
NACTI,marmota flaviventris,12aaee1d-c0e6-4c0c-ac13-5ff1eff8313a,marmota flaviventris,Yellow-bellied Marmot,309
NACTI,unidentified pocket gopher,9964e2ea-8e10-4738-9b7f-7409faa1e6a0,geomyidae,Geomyidae Family,1
NACTI,unidentified mouse,90d950db-2106-4bd9-a4c1-777604c3eada,rodentia,Rodent,4
NACTI,unidentified pack rat,3ff7d1c3-af2d-4b25-aa3f-6524b5f34957,neotoma,Neotoma Species,715
NACTI,unidentified deer mouse,25540311-3902-4d4d-b40c-c6dbb5bb2665,peromyscus,Peromyscus Species,128
NACTI,unidentified chipmunk,8a9cc0e5-2fe9-411a-a4f3-982f56a1e68a,tamias,Tamias Species,1533
NACTI,rattus rattus,a20363a5-1283-4e73-b09c-aeb71e53ddef,rattus rattus,House Rat,0
NACTI,unidentified rodent,90d950db-2106-4bd9-a4c1-777604c3eada,rodentia,Rodent,0
NACTI,odocoileus hemionus,febff896-db40-4ac8-bcfe-5bb99a600950,odocoileus hemionus,Mule Deer,85395
NACTI,odocoileus virginianus,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,odocoileus virginianus,White-tailed Deer,0
NACTI,procyon lotor,b57debc1-dff2-48d3-a400-f2b5021e71b0,procyon lotor,Northern Raccoon,37875
NACTI,puma concolor,9c564562-9429-405c-8529-04cff7752282,puma concolor,Puma,14756
NACTI,otospermophilus beecheyi,d01f67fd-836b-4b25-89fc-2239e59f56b0,otospermophilus beecheyi,California Ground Squirrel,33866
NACTI,unidentified sciurus,88a54afe-71de-4833-b420-86630f9dfd86,sciurus,Sciurus Species,0
NACTI,sciurus carolinensis,86f5b978-4f30-40cc-bd08-be9e3fba27a0,sciurus carolinensis,Eastern Gray Squirrel,27167
NACTI,sciurus niger,e07c537d-08b8-4c31-9768-51e4adf5a5ab,sciurus niger,Bryant's Fox Squirrel,0
NACTI,tamiasciurus hudsonicus,b3f3e9e3-440d-44df-9a89-081f276c8bdd,tamiasciurus hudsonicus,Red Squirrel,4029
NACTI,sus scrofa,d372cda5-a8ca-4b7b-97ed-4e4fab9c9b4b,sus scrofa,Wild Boar,139439
NACTI,urocyon cinereoargenteus,ffe603fc-4920-4302-96d0-65f708bd5b2d,urocyon cinereoargenteus,Grey Fox,10225
NACTI,vulpes vulpes,ac0e8ba7-7261-4d17-8645-11ed3d02165a,vulpes vulpes,Red Fox,1723
NACTI,ursus americanus,436ddfdd-bc43-44c3-a25d-34671d3430a0,ursus americanus,American Black Bear,28770
NACTI,dendragapus obscurus,258450f8-55c6-40a4-ab70-bbab2a050d56,dendragapus obscurus,Blue Grouse,8
NACTI,junco hyemalis,6395f8b8-1dd6-4887-9a57-b39923588d0e,junco hyemalis,Dark-eyed Junco,5
NACTI,unidentified accipitrid,70593171-87a7-4256-a9ce-577f064b8490,accipitridae,Accipitridae Family,208
NACTI,unidentified bird,b1352069-a39c-4a84-a949-60044271c0c1,aves,Bird,67070
NACTI,troglodytes aedon,31bb4591-949a-45f0-8ddb-63cf08188ec8,troglodytes aedon,House Wren,4
NACTI,zenaida macroura,0ccfe789-41e3-45b8-bdbc-36f0ce73db48,zenaida macroura,Mourning Dove,0
WCS Camera Traps,psophia leucoptera,33eb439a-de3d-4f9f-b6d8-f0763533d116,psophia leucoptera,White-winged Trumpeter,8214
WCS Camera Traps,tayassu pecari,575008c3-8e3b-4efe-8da6-47631d60d5b7,tayassu pecari,White-lipped Peccary,95788
WCS Camera Traps,dasyprocta punctata,527c9d88-4d7d-4406-add9-c0a823697926,dasyprocta punctata,Central American Agouti,15860
WCS Camera Traps,cuniculus paca,32c0147f-1967-4644-b107-8133ae1f020a,cuniculus paca,Spotted Paca,6659
WCS Camera Traps,sciurus spadiceus,e89c255c-dcc9-4459-be88-b6e9128503e4,sciurus spadiceus,Southern Amazon Red Squirrel,1681
WCS Camera Traps,puma concolor,9c564562-9429-405c-8529-04cff7752282,puma concolor,Puma,6823
WCS Camera Traps,tapirus terrestris,39e5ea73-38f1-454a-8054-7c67f20fbced,tapirus terrestris,Lowland Tapir,8199
WCS Camera Traps,pecari tajacu,5acf63fb-339d-42b1-af7e-95f6151ae5fb,pecari tajacu,Collared Peccary,10397
WCS Camera Traps,mazama americana,0dba69b2-dfd7-48af-8e64-e576cbda74c3,mazama americana,Red Brocket,6858
WCS Camera Traps,leopardus pardalis,22976d14-d424-4f18-a67a-d8e1689cefcc,leopardus pardalis,Ocelot,14948
WCS Camera Traps,mitu tuberosum,801de244-bcfb-49e3-9c1b-8bcba0e796f3,mitu tuberosum,Razor-billed Curassow,12367
WCS Camera Traps,geotrygon montana,518013b1-6f89-4679-8523-73cb73cb2f1c,geotrygon montana,Ruddy Quail-dove,649
WCS Camera Traps,nasua nasua,1d3bbcaa-f81a-41d9-8904-5cc8a505af32,nasua nasua,South American Coati,1453
WCS Camera Traps,dasypus novemcinctus,07843615-e1fc-49d8-9821-fd1d7ff2e773,dasypus novemcinctus,Nine-banded Armadillo,2424
WCS Camera Traps,eira barbara,6d0d096e-79b8-4fbe-90e1-044e41e24c2c,eira barbara,Tayra,2464
WCS Camera Traps,didelphis marsupialis,4ac36fff-912b-467a-8dab-95ee49d26787,didelphis marsupialis,Common Opossum,2004
WCS Camera Traps,penelope jacquacu,6071f8bb-793d-45f5-9013-8668014e86e3,penelope jacquacu,Spix's Guan,2864
WCS Camera Traps,alouatta sara,05a707d7-4e36-48a1-98c7-6e90292c0e71,alouatta sara,Bolivian Red Howler Monkey,23
WCS Camera Traps,atelocynus microtis,db136c93-8ac0-49c6-82f2-e3ab8d3c2be1,atelocynus microtis,Short-eared Dog,1900
WCS Camera Traps,procyon cancrivorus,c56031a6-f8ce-4929-b6eb-b5253d4e1cdc,procyon cancrivorus,Crab-eating Raccoon,700
WCS Camera Traps,aramides cajaneus,033f2ecb-bf36-4ce1-bf3f-7efcd71fe374,aramides cajaneus,Grey-necked Wood-rail,745
WCS Camera Traps,ortalis sp,eee30005-e818-479d-95a1-7d98d7bc12d0,ortalis,Ortalis Species,1
WCS Camera Traps,leptotila sp,c9a63279-494a-4c82-9cc7-e500ed7a96c9,leptotila,Leptotila Species,106
WCS Camera Traps,panthera onca,9b7fea59-cfa3-499c-a420-bcf36277dcd8,panthera onca,Jaguar,9435
WCS Camera Traps,myrmecophaga tridactyla,2b98dad0-1e0e-4488-9cbe-9c4777dd9eca,myrmecophaga tridactyla,Giant Anteater,1854
WCS Camera Traps,tinamus major,75760d64-d7a3-496e-b338-e14d97383ecf,tinamus major,Great Tinamou,1617
WCS Camera Traps,pilherodius pileatus,a894d48c-b5a6-48bc-9801-bc1c15edea17,pilherodius pileatus,Capped Heron,6
WCS Camera Traps,hydrochoerus hydrochaeris,872e96f1-7a77-4ed2-824a-22fcbb32f598,hydrochoerus hydrochaeris,Capybara,566
WCS Camera Traps,odontophorus gujanensis,2e27888e-c1cd-401b-a595-1888738ce293,odontophorus gujanensis,Marbled Wood-quail,100
WCS Camera Traps,crypturellus cinereus,9be3bcca-70d6-41c1-8b42-67bd39e3011c,crypturellus cinereus,Cinereous Tinamou,111
WCS Camera Traps,crypturellus sp,9dc6ae04-c92b-492f-a74c-429b9af45624,crypturellus,Crypturellus Species,16
WCS Camera Traps,sylvilagus brasiliensis,4834ffc5-1556-4ed5-8134-8f1fc5308252,sylvilagus brasiliensis,Common Tapeti,4693
WCS Camera Traps,mesembrinibis cayennensis,fc360b21-8b17-41a6-bade-c89f86c0b6ea,mesembrinibis cayennensis,Green Ibis,22
WCS Camera Traps,turdus ignobilis,8f15bd68-c6ce-46d6-8c85-a32d62d8095b,turdus ignobilis,Black-billed Thrush,1
WCS Camera Traps,dasypus kappleri,4bd5da21-db37-44a8-b909-f76a6d990faa,dasypus kappleri,Greater Long-nosed Armadillo,587
WCS Camera Traps,eurypyga helias,e3561212-8e0b-4cc6-8834-6c4613691ae4,eurypyga helias,Sunbittern,17
WCS Camera Traps,priodontes maximus,d23e77b7-0314-4129-b2e8-810e9c4771e7,priodontes maximus,Giant Armadillo,684
WCS Camera Traps,tamandua tetradactyla,89d41ec3-af8a-438a-86dd-4a6cb1819f07,tamandua tetradactyla,Southern Tamandua,266
WCS Camera Traps,agamia agami,7283d7f5-7cca-4c57-9fb7-1fb5b9fb1701,agamia agami,Agami Heron,3
WCS Camera Traps,tigrisoma lineatum,1110460b-7f99-405b-a9b0-65a09ecccca1,tigrisoma lineatum,Rufescent Tiger-heron,25
WCS Camera Traps,cochlearius cochlearius,4ae3b7b9-5082-4320-b216-a0aa6e60c97e,cochlearius cochlearius,Boat-billed Heron,7
WCS Camera Traps,crypturellus atrocapillus,2dac5f17-cfa2-4a2e-8de7-6cf7b7a48c77,crypturellus atrocapillus,Black-capped Tinamou,1
WCS Camera Traps,crypturellus undulatus,c09f39da-fcc2-4399-9dbf-bd5bfce6f074,crypturellus undulatus,Undulated Tinamou,1
WCS Camera Traps,puma yagouaroundi,5bf1ea7e-141a-4cc2-92ac-5e20bf64b408,herpailurus yagouaroundi,Jaguarundi,109
WCS Camera Traps,speothos venaticus,38c8d8c6-483a-4c82-9c0d-ce16c0c1870f,speothos venaticus,Bush Dog,12
WCS Camera Traps,lontra longicaudis,47271bc2-de1a-4ee4-8353-9039a1847f11,lontra longicaudis,Neotropical Otter,2
WCS Camera Traps,neomorphus geoffroyi,c685ddde-02d6-4714-8409-1501d0ef4a8a,neomorphus geoffroyi,Rufous-vented Ground-Cuckoo,12
WCS Camera Traps,nyctidromus albicollis,2123d71f-bb59-4e38-b6cf-a6872c48573c,nyctidromus albicollis,Pauraque,1
WCS Camera Traps,harpia harpyja,daf99eaf-b9c8-4f65-8445-8c0374cfc8a4,harpia harpyja,Harpy Eagle,1
WCS Camera Traps,leopardus wiedii,442208b3-d712-412e-bfd3-430688698aa0,leopardus wiedii,Margay,971
WCS Camera Traps,buteogallus urubitinga,ed449f52-bc93-4502-a035-ed3c19927cf0,buteogallus urubitinga,Great Black Hawk,875
WCS Camera Traps,cairina moschata,2a54b5b4-1d76-4e1d-97ad-d5cf459d53b3,cairina moschata,Muscovy Duck,37
WCS Camera Traps,tinamus guttatus,f19382b7-01ce-431b-a931-ad0e215aa796,tinamus guttatus,White-throated Tinamou,51
WCS Camera Traps,formicarius analis,a0841346-8260-4450-96b8-1e4ded395805,formicarius analis,Black-faced Antthrush,187
WCS Camera Traps,ardea alba,1744bcc8-f0f4-4c2d-9deb-094edd5f56a4,ardea alba,Great White Egret,3
WCS Camera Traps,neochen jubata,58562429-ad3c-4ab6-8967-64db37d9c3cd,neochen jubata,Orinoco Goose,110
WCS Camera Traps,molothrus oryzivorus,0b0425ca-75bc-4bde-85c5-6d36c272d8a7,molothrus oryzivorus,Giant Cowbird,2
WCS Camera Traps,coragyps atratus,e19df117-0863-4151-a078-276dba51bdef,coragyps atratus,American Black Vulture,835
WCS Camera Traps,crypturellus erythropus,37d222d9-b686-4d3a-af74-efaa91edda16,crypturellus erythropus,Red-legged Tinamou,2
WCS Camera Traps,anhima cornuta,d7ceea36-ef55-4e6b-a8b3-8cf64cbf2382,anhima cornuta,Horned Screamer,33
WCS Camera Traps,haploxypterus cayanus,a2c01279-a140-4cc7-9f2d-07766e63c0d4,hoploxypterus cayanus,Pied Lapwing,1
WCS Camera Traps,mazama gouazoubira,0d27127e-e39f-41f4-9685-11d68f4777ae,mazama gouazoubira,Gray Brocket,497
WCS Camera Traps,caprimulgus sp,62612a95-5df3-43cc-b03c-d826fe76392d,caprimulgus,Caprimulgus Species,1
WCS Camera Traps,daptrius ater,e7f0d5d7-bd8f-44e3-89ac-bdb62fe2df3b,daptrius ater,Black Caracara,53
WCS Camera Traps,crypturellus pos bartletti,7eeaee79-a63e-4037-a797-599d61c33fc4,crypturellus bartletti,Bartlett's Tinamou,4
WCS Camera Traps,blastocerus dichotomus,b9aeb369-cc41-4303-9b95-edcd7bcc8ff6,blastocerus dichotomus,Marsh Deer,2
WCS Camera Traps,philander opossum,bf9fb6c1-8c5e-4800-b0ed-bd82b16caf57,philander opossum,Gray Four-eyed Opossum,193
WCS Camera Traps,lutreolina crassicaudata,4c72625b-51da-445f-8101-0227e77eb76e,lutreolina crassicaudata,Little Water Opossum,2
WCS Camera Traps,tupinambis teguixin,3bbd196e-e3a2-4024-a6dc-f20153c9428f,tupinambis teguixin,Black Tegu,129
WCS Camera Traps,capra aegagrus,4295d9de-4a0d-4e4a-b5f3-05daac8c8e3d,capra aegagrus,Wild Goat,4414
WCS Camera Traps,bos taurus,aca65aaa-8c6d-4b69-94de-842b08b13bd6,bos taurus,Domestic Cattle,22182
WCS Camera Traps,ovis aries,0de8422e-f59d-4802-9e93-ab8559e43e55,ovis aries,Domestic Sheep,1338
WCS Camera Traps,canis lupus,ee8d5a89-f82e-4323-80e2-0ffc9487ebaf,canis lupus,Grey Wolf,822
WCS Camera Traps,lepus saxatilis,2a454390-09b9-45dc-b747-00657e92cf8c,lepus saxatilis,Scrub Hare,1428
WCS Camera Traps,human,990ae9dd-7a59-4344-afcb-1b7b21368000,homo sapiens,Human,162501
WCS Camera Traps,nesotragus moschatus,7b40cf9f-0dae-431d-a541-7d465845ff97,nesotragus moschatus,Suni,1136
WCS Camera Traps,turtur calcospilos,5f0ecd17-fe64-42db-af26-ac05702a99f5,turtur chalcospilos,Emerald-spotted Wood-dove,25
WCS Camera Traps,papio anubis,ada5414d-2ce9-4be2-9691-bd8e7695366e,papio anubis,Olive Baboon,3865
WCS Camera Traps,genetta genetta,afa5f0f8-3a37-4381-97c9-d3832046ef59,genetta genetta,Common Genet,104
WCS Camera Traps,sylvicapra grimmia,4d29815c-2b61-4595-a520-2441af567d64,sylvicapra grimmia,Common Duiker,911
WCS Camera Traps,francolinus sp,267e0285-6b6f-47e7-a757-baefa3eadb42,francolinus,Francolinus Species,32
WCS Camera Traps,tragelaphus scriptus,1ae5230b-5168-4491-ad4e-19583eb21b52,tragelaphus scriptus,Bushbuck,1221
WCS Camera Traps,turdus tephronotus,52d1a375-5f70-479a-be00-0d40f364511a,turdus tephronotus,Bare-eyed Thrush,1
WCS Camera Traps,cercopithecus albogularis,c8e04ec9-9ee6-4801-aaf4-56798b3692f2,cercopithecus erythrogaster,Red-bellied Monkey,215
WCS Camera Traps,equus africanus,bf4af16d-d079-4d7c-af7a-be9c9c7cceab,equus africanus,African Wild Ass,215
WCS Camera Traps,thryonomys gregorianus,059b9219-6e57-4bb8-b9b0-fbff9f29124e,thryonomys gregorianus,Lesser Cane Rat,4
WCS Camera Traps,paraxerus ochraceus,858d6e76-684d-46c8-9c27-304c04cbb88a,paraxerus ochraceus,Ochre Bush Squirrel,15
WCS Camera Traps,herpestes sanguineus,3ac589d6-a591-41f0-adc7-37bde833fb11,herpestes sanguineus,Common Slender Mongoose,60
WCS Camera Traps,loxodonta africana,55631055-3e0e-4b7a-9612-dedebe9f78b0,loxodonta africana,African Elephant,13394
WCS Camera Traps,cricetomys gambianus,4c88622d-efe4-42af-9a54-e3b7a76c3b85,cricetomys gambianus,Gambian Rat,3755
WCS Camera Traps,raphicerus campestris,c582e165-1d76-4520-bea6-f2c516fbb0a2,raphicerus campestris,Steenbok,663
WCS Camera Traps,buphagus sp,646f9de0-feda-4634-8fe2-a8fd6986f4f3,buphagus,Buphagus Species,77
WCS Camera Traps,hyaena hyaena,2e5b35a8-563f-4372-9f32-cb869448c88a,hyaena hyaena,Striped Hyaena,592
WCS Camera Traps,bubulcus ibis,ce2e0e86-5580-4ab4-974a-4970753a140f,bubulcus ibis,Cattle Egret,117
WCS Camera Traps,aepyceros melampus,c134e0ab-cf96-45ec-bae6-60b94995f71b,aepyceros melampus,Impala,22181
WCS Camera Traps,crocuta crocuta,dce8d520-a3f6-4ed7-a434-bfe98f81a03d,crocuta crocuta,Spotted Hyaena,2626
WCS Camera Traps,caracal caracal,2e0df4cb-9598-4ef4-bfdf-e0bb36923e39,caracal caracal,Caracal,36
WCS Camera Traps,equus ferus,19fd235e-d808-4e22-bfae-42491045b763,equus ferus,Przewalski's Horse,2599
WCS Camera Traps,panthera leo,ddf59264-185a-4d35-b647-2785792bdf54,panthera leo,Lion,429
WCS Camera Traps,tragelaphus oryx,6ffe2064-cabd-4fcb-8c1b-f168bf381aab,tragelaphus oryx,Common Eland,3348
WCS Camera Traps,kobus ellipsiprymnus,b0f1b993-d62c-4b55-b833-5e575a15df05,kobus ellipsiprymnus,Waterbuck,544
WCS Camera Traps,phacochoerus africanus,ccd7d6d7-8eb2-4fdb-a6d6-f1970847e449,phacochoerus africanus,Common Warthog,1588
