dataset_name,query,taxonomy_level,scientific_name,common_name,taxonomy_string,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
Caltech Camera Traps,empty,,,,,,,,,,,,,,,,,,,,,,,
Caltech Camera Traps,fox,species,urocyon cinereoargenteus,gray fox,"[(42076, 'species', 'urocyon cinereoargenteus', ['gray fox']), (42075, 'genus', 'urocyon', ['gray foxes']), (42043, 'family', 'canidae', ['canids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,urocyon,urocyon cinereoargenteus,,
Caltech Camera Traps,insect,class,insecta,insect,"[(47158, 'class', 'insecta', ['insects']), (372739, 'subphylum', 'hexapoda', ['hexapods']), (47120, 'phylum', 'arthropoda', ['arthropods']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,arthropoda,hexapoda,,insecta,,,,,,,,,,,,,,
Caltech Camera Traps,lizard,order,squamata,lizard,"[(26172, 'order', 'squamata', ['snakes and lizards']), (26036, 'class', 'reptilia', ['reptiles']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,reptilia,,,,squamata,,,,,,,,,,
Caltech Camera Traps,mountain_lion,species,puma concolor,mountain lion,"[(42007, 'species', 'puma concolor', ['mountain lion']), (42006, 'genus', 'puma', []), (846179, 'subfamily', 'felinae', ['small cats']), (41944, 'family', 'felidae', ['felids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,puma,puma concolor,,
Caltech Camera Traps,opossum,species,didelphis virginiana,virginia opossum,"[(42652, 'species', 'didelphis virginiana', ['virginia opossum']), (42646, 'genus', 'didelphis', ['large american opossums']), (846338, 'tribe', 'didelphini', ['large new world opossums']), (846215, 'subfamily', 'didelphinae', ['large american opossums, mouse opossums, and allies']), (42541, 'family', 'didelphidae', ['opossums']), (42540, 'order', 'didelphimorphia', ['opossums']), (848319, 'infraclass', 'marsupialia', ['marsupials']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,marsupialia,,didelphimorphia,,,,didelphidae,didelphinae,didelphini,didelphis,didelphis virginiana,,
Caltech Camera Traps,pig,species,sus scrofa,pig,"[(42134, 'species', 'sus scrofa', ['wild boar']), (42126, 'genus', 'sus', ['boars and warty pigs']), (1365636, 'tribe', 'suini', []), (1365630, 'subfamily', 'suinae', []), (42118, 'family', 'suidae', ['suids']), (848343, 'suborder', 'suina', ['swines and peccaries']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,suina,,,suidae,suinae,suini,sus,sus scrofa,,
Caltech Camera Traps,rabbit,family,leporidae,rabbits and hares,"[(43095, 'family', 'leporidae', ['hares and rabbits']), (43094, 'order', 'lagomorpha', ['lagomorphs']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,lagomorpha,,,,leporidae,,,,,,
Caltech Camera Traps,raccoon,species,procyon lotor,raccoon,"[(41663, 'species', 'procyon lotor', ['common raccoon']), (41661, 'genus', 'procyon', ['raccoons']), (41660, 'family', 'procyonidae', ['raccoons, coatis, and allies']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,procyonidae,,,procyon,procyon lotor,,
Caltech Camera Traps,rodent,order,rodentia,rodent,"[(43698, 'order', 'rodentia', ['rodents']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,rodentia,,,,,,,,,,
Caltech Camera Traps,skunk,family,mephitidae,skunk,"[(41871, 'family', 'mephitidae', ['skunks and stink-badgers']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,mephitidae,,,,,,
Caltech Camera Traps,squirrel,genus,sciurus,squirrel,"[(45994, 'genus', 'sciurus', ['tree squirrels']), (339575, 'tribe', 'sciurini', ['typical squirrels']), (332614, 'subfamily', 'sciurinae', ['typical and flying squirrels']), (45933, 'family', 'sciuridae', ['squirrels']), (129411, 'suborder', 'sciuromorpha', ['squirrels, dormice, and mountain beavers']), (43698, 'order', 'rodentia', ['rodents']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,rodentia,sciuromorpha,,,sciuridae,sciurinae,sciurini,sciurus,,,
Channel Islands Camera Traps,bird,class,aves,bird,"[(3, 'class', 'aves', ['birds']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Channel Islands Camera Traps,empty,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands Camera Traps,fox,species,urocyon littoralis,island fox,"[(42077, 'species', 'urocyon littoralis', ['island fox']), (42075, 'genus', 'urocyon', ['gray foxes']), (42043, 'family', 'canidae', ['canids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,urocyon,urocyon littoralis,,
Channel Islands Camera Traps,human,species,homo sapiens,human,"[(43584, 'species', 'homo sapiens', ['human']), (43583, 'genus', 'homo', ['ancestral and modern humans']), (846252, 'subfamily', 'homininae', []), (43575, 'family', 'hominidae', ['great apes']), (1036675, 'superfamily', 'hominoidea', ['apes']), (936369, 'parvorder', 'catarrhini', ['apes and old world monkeys']), (936377, 'infraorder', 'simiiformes', ['monkeys and apes']), (786045, 'suborder', 'haplorhini', ['monkeys, apes, and tarsiers']), (43367, 'order', 'primates', ['primates']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,primates,haplorhini,simiiformes,hominoidea,hominidae,homininae,,homo,homo sapiens,,
Channel Islands Camera Traps,other,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands Camera Traps,rodent,order,rodentia,rodent,"[(43698, 'order', 'rodentia', ['rodents']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,rodentia,,,,,,,,,,
Channel Islands Camera Traps,skunk,family,mephitidae,skunk,"[(41871, 'family', 'mephitidae', ['skunks and stink-badgers']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,mephitidae,,,,,,
ENA24,american black bear,species,ursus americanus,american black bear,"[(41638, 'species', 'ursus americanus', ['american black bear']), (41637, 'genus', 'ursus', ['holarctic bears']), (846255, 'subfamily', 'ursinae', ['typical bears']), (41636, 'family', 'ursidae', ['bears']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus americanus,,
ENA24,american crow,species,corvus brachyrhynchos,american crow,"[(8021, 'species', 'corvus brachyrhynchos', ['american crow']), (7998, 'genus', 'corvus', ['crows and ravens']), (7823, 'family', 'corvidae', ['crows, jays, and magpies']), (7251, 'order', 'passeriformes', ['perching birds']), (3, 'class', 'aves', ['birds']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,aves,,,,passeriformes,,,,corvidae,,,corvus,corvus brachyrhynchos,,
ENA24,bird,class,aves,bird,"[(3, 'class', 'aves', ['birds']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
ENA24,bobcat,species,lynx rufus,bobcat,"[(41976, 'species', 'lynx rufus', ['bobcat']), (41973, 'genus', 'lynx', ['lynxes']), (846179, 'subfamily', 'felinae', ['small cats']), (41944, 'family', 'felidae', ['felids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
ENA24,chicken,variety,gallus gallus domesticus,domestic chicken,"[(505478, 'variety', 'gallus gallus domesticus', ['domestic chicken']), (882, 'species', 'gallus gallus', ['red junglefowl']), (879, 'genus', 'gallus', ['junglefowl']), (574, 'family', 'phasianidae', ['pheasants, grouse, and allies']), (573, 'order', 'galliformes', ['landfowl']), (3, 'class', 'aves', ['birds']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,aves,,,,galliformes,,,,phasianidae,,,gallus,gallus gallus,,gallus gallus domesticus
ENA24,coyote,species,canis latrans,coyote,"[(42051, 'species', 'canis latrans', ['coyote']), (42044, 'genus', 'canis', ['wolves and dogs']), (42043, 'family', 'canidae', ['canids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,canis,canis latrans,,
ENA24,dog,species,canis familiaris,domestic dog,"[(47144, 'species', 'canis familiaris', ['domestic dog']), (42044, 'genus', 'canis', ['wolves and dogs']), (42043, 'family', 'canidae', ['canids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,canis,canis familiaris,,
ENA24,domestic cat,species,felis catus,domestic cat,"[(118552, 'species', 'felis catus', ['domestic cat']), (41956, 'genus', 'felis', ['palearctic and african small cats']), (846179, 'subfamily', 'felinae', ['small cats']), (41944, 'family', 'felidae', ['felids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,felis,felis catus,,
ENA24,eastern chipmunk,species,tamias striatus,eastern chipmunk,"[(46217, 'species', 'tamias striatus', ['eastern chipmunk']), (520586, 'genus', 'tamias', []), (1279829, 'tribe', 'tamiini', ['chipmunks']), (339572, 'subfamily', 'xerinae', ['ground and african tree squirrels']), (45933, 'family', 'sciuridae', ['squirrels']), (129411, 'suborder', 'sciuromorpha', ['squirrels, dormice, and mountain beavers']), (43698, 'order', 'rodentia', ['rodents']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,rodentia,sciuromorpha,,,sciuridae,xerinae,tamiini,tamias,tamias striatus,,
ENA24,eastern cottontail,species,sylvilagus floridanus,eastern cottontail,"[(43111, 'species', 'sylvilagus floridanus', ['eastern cottontail']), (43096, 'genus', 'sylvilagus', ['cottontail rabbits']), (43095, 'family', 'leporidae', ['hares and rabbits']), (43094, 'order', 'lagomorpha', ['lagomorphs']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,lagomorpha,,,,leporidae,,,sylvilagus,sylvilagus floridanus,,
ENA24,eastern fox squirrel,subspecies,sciurus niger cinereus,eastern fox squirrel,"[(122192, 'subspecies', 'sciurus niger cinereus', ['delmarva fox squirrel']), (46020, 'species', 'sciurus niger', ['fox squirrel']), (45994, 'genus', 'sciurus', ['tree squirrels']), (339575, 'tribe', 'sciurini', ['typical squirrels']), (332614, 'subfamily', 'sciurinae', ['typical and flying squirrels']), (45933, 'family', 'sciuridae', ['squirrels']), (129411, 'suborder', 'sciuromorpha', ['squirrels, dormice, and mountain beavers']), (43698, 'order', 'rodentia', ['rodents']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,rodentia,sciuromorpha,,,sciuridae,sciurinae,sciurini,sciurus,sciurus niger,sciurus niger cinereus,
